CNAE;RAT;FPAS;Descrição da atividade
293010;2,00%;507;Fabricação de carrocerias para ônibus
293010;2,00%;507;Fabricação de cabines, carrocerias e rebo ques para outros veículos
294170;2,00%;507;Fabricação de peças e acessórios para o s istema motor de veículos
294250;2,00%;507;Fabricação de peças e acessórios para os sistemas de marcha e transmissão
294330;2,00%;507;Fabricação de peças e acessórios para o s istema de freios de veículos
294410;2,00%;507;Fabricação de peças e acessórios para o s istema de direção e suspensão de
294500;2,00%;507;Fabricação de material elétrico e eletrôn ico para veículos automotores,
294920;2,00%;507;Fabricação de bancos e estofados para veí culos automotores
294929;2,00%;507;Fabricação de outras peças e acessórios p ara veículos automotores não
295060;2,00%;507;Recondicionamento e recuperação de motore s para veículos automotores
301130;2,00%;507;Construção de embarcações de grande porte
301130;2,00%;507;Construção de embarcações para uso comerc ial e para usos especiais, exceto
301210;2,00%;507;Construção de embarcações para esporte e lazer
303180;1,00%;507;Fabricação de locomotivas, vagões e outro s materiais rodantes
303260;1,00%;507;Fabricação de peças e acessórios para veí culos ferroviários
305040;2,00%;507;Fabricação de veículos militares de comba te
309110;1,00%;507;Fabricação de motocicletas, peças e acess órios
309200;1,00%;507;Fabricação de bicicletas e triciclos não- motorizados, peças e acessórios
309970;1,00%;507;Fabricação de equipamentos de transporte não especificados anteriormente
310120;2,00%;507;Fabricação de móveis com predominância de  madeira
310210;2,00%;507;Fabricação de móveis com predominância de  metal
310390;2,00%;507;Fabricação de móveis de outros materiais,  exceto madeira e metal
310470;2,00%;507;Fabricação de colchões
321160;1,00%;507;Lapidação de gemas
321160;1,00%;507;Fabricação de artefatos de joalheria e ou rivesaria
321160;1,00%;507;Cunhagem de moedas e medalhas
321240;1,00%;507;Fabricação de bijuterias e artefatos seme lhantes
322050;1,00%;507;Fabricação de instrumentos musicais, peça s e acessórios
323020;2,00%;507;Fabricação de artefatos para pesca e espo rte
324000;1,00%;507;Fabricação de jogos eletrônicos
324000;1,00%;507;Fabricação de mesas de bilhar, de sinuca e acessórios não associada à
324000;1,00%;507;Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação
324009;1,00%;507;Fabricação de outros brinquedos e jogos r ecreativos não especificados
325070;2,00%;507;Fabricação de instrumentos não-eletrônico s e utensílios para uso médico,
325070;2,00%;507;Fabricação de mobiliário para uso médico,  cirúrgico, odontológico e de
325070;2,00%;507;Fabricação de aparelhos e utensílios para  correção de defeitos físicos e
325070;2,00%;507;Fabricação de aparelhos e utensílios para  correção de defeitos físicos e
325070;2,00%;507;Fabricação de materiais para medicina e o dontologia
325070;2,00%;507;Fabricação de artigos ópticos
325070;2,00%;507;Fabricação de artefatos de tecido não tec ido para uso odonto-médico-
329140;1,00%;507;Fabricação de escovas, pincéis e vassoura s
329220;1,00%;507;Fabricação de roupas de proteção e segura nça e resistentes a fogo
329220;1,00%;507;Fabricação de equipamentos e acessórios p ara segurança pessoal e
329900;1,00%;507;Fabricação de guarda-chuvas e similares
329900;1,00%;507;Fabricação de canetas, lápis e outros art igos para escritório
329900;1,00%;507;Fabricação de letras, letreiros e placas de qualquer material, exceto
